x,y,z
-9.71802,-9.53665,29.9628
-9.68648,-9.237,30.2716
-9.62822,-8.9135,30.5402
-9.54378,-8.57137,30.7655
-9.43414,-8.21608,30.945
-9.30071,-7.85323,31.0776
-9.14531,-7.48834,31.1628
-8.97009,-7.12667,31.2011
-8.77748,-6.77307,31.1938
-8.57011,-6.43188,31.1431
-8.35077,-6.10683,31.0515
-8.12227,-5.80101,30.9221
-7.88745,-5.51683,30.7581
-7.64905,-5.25607,30.5632
-7.40971,-5.01988,30.3409
-7.17188,-4.80889,30.0946
-6.93783,-4.62323,29.828
-6.7096,-4.46264,29.5441
-6.489,-4.32653,29.246
-6.27759,-4.21409,28.9366
-6.0767,-4.1243,28.6185
-5.88744,-4.05605,28.2939
-5.71069,-4.00818,27.965
-5.54714,-3.9795,27.6337
-5.3973,-3.96885,27.3017
-5.26154,-3.97515,26.9705
-5.14008,-3.99736,26.6416
-5.03302,-4.03455,26.3162
-4.94037,-4.0859,25.9954
-4.86209,-4.15067,25.6804
-4.79804,-4.22825,25.3722
-4.74807,-4.31812,25.0716
-4.71199,-4.41985,24.7797
-4.68957,-4.53311,24.4972
-4.68062,-4.65764,24.2252
-4.68491,-4.79327,23.9646
-4.70222,-4.93986,23.7161
-4.73237,-5.09733,23.4808
-4.77515,-5.26563,23.2596
-4.83041,-5.44472,23.0536
-4.89797,-5.63458,22.8639
-4.97768,-5.83514,22.6914
-5.06941,-6.04633,22.5375
-5.17302,-6.26799,22.4034
-5.28836,-6.49991,22.2903
-5.41527,-6.74176,22.1997
-5.55359,-6.9931,22.133
-5.7031,-7.25333,22.0916
-5.86354,-7.52166,22.0772
-6.03461,-7.7971,22.0911
-6.2159,-8.07842,22.1351
-6.40693,-8.3641,22.2105
-6.60711,-8.65234,22.3189
-6.81571,-8.941,22.4615
-7.03185,-9.22761,22.6396
-7.25448,-9.50932,22.8539
-7.48237,-9.78293,23.1052
-7.71408,-10.0449,23.3937
-7.94795,-10.2914,23.7191
-8.1821,-10.5181,24.0805
-8.41442,-10.7209,24.4764
-8.64258,-10.8952,24.9047
-8.86407,-11.0366,25.3624
-9.07616,-11.1407,25.8454
-9.27601,-11.2036,26.3491
-9.46069,-11.2218,26.8679
-9.62726,-11.1926,27.3955
-9.77281,-11.1139,27.9247
-9.89459,-10.9849,28.4482
-9.99007,-10.8058,28.958
-10.0571,-10.5781,29.4463
-10.0938,-10.3044,29.9053
-10.0988,-9.98884,30.328
-10.0716,-9.63631,30.7077
-10.0118,-9.25282,31.0391
-9.92005,-8.84505,31.3177
-9.7973,-8.42012,31.5404
-9.64526,-7.98535,31.7056
-9.46614,-7.54795,31.8127
-9.26258,-7.11477,31.8625
-9.03764,-6.6921,31.857
-8.79462,-6.28548,31.7989
-8.53699,-5.8996,31.6919
-8.26832,-5.53824,31.54
-7.99214,-5.20424,31.3477
-7.71186,-4.89957,31.1195
-7.43073,-4.62536,30.8601
-7.15175,-4.38204,30.5739
-6.87765,-4.1694,30.2653
-6.61085,-3.98675,29.9381
-6.35348,-3.833,29.596
-6.1073,-3.70679,29.2424
-5.87382,-3.60658,28.88
-5.65421,-3.53072,28.5117
-5.44938,-3.47755,28.1396
-5.26002,-3.44542,27.7657
-5.08658,-3.43278,27.3919
-4.92932,-3.43816,27.0198
-4.78836,-3.46024,26.6505
-4.66367,-3.49782,26.2855
-4.55514,-3.54988,25.9257
-4.46254,-3.61553,25.5722
-4.38564,-3.69403,25.2258
-4.32412,-3.7848,24.8874
-4.27767,-3.88739,24.5579
-4.24595,-4.00145,24.238
-4.22866,-4.12677,23.9284
-4.22548,-4.26323,23.6301
-4.23612,-4.41081,23.3438
-4.26033,-4.56953,23.0703
-4.29789,-4.7395,22.8106
-4.3486,-4.92086,22.5656
-4.41229,-5.11378,22.3363
-4.48886,-5.31844,22.1238
-4.57818,-5.53501,21.9293
-4.6802,-5.76364,21.7539
-4.79485,-6.00442,21.5991
-4.9221,-6.25737,21.4662
-5.06189,-6.52242,21.3569
-5.21418,-6.79936,21.2728
-5.3789,-7.08781,21.2157
-5.55592,-7.38722,21.1873
-5.74509,-7.69677,21.1897
-5.94616,-8.01538,21.2248
-6.1588,-8.34166,21.2946
-6.38256,-8.67384,21.4012
-6.61683,-9.00974,21.5464
-6.86085,-9.34674,21.7322
-7.11365,-9.68174,21.9602
-7.37403,-10.0111,22.2316
-7.64054,-10.3308,22.5476
-7.91145,-10.6361,22.9084
-8.18474,-10.9219,23.314
-8.45806,-11.1828,23.7633
-8.72875,-11.413,24.2544
-8.99386,-11.6065,24.7844
-9.25014,-11.7573,25.3492
-9.4941,-11.8599,25.9436
-9.72205,-11.909,26.5611
-9.93021,-11.9002,27.194
-10.1148,-11.8301,27.8337
-10.2721,-11.6968,28.4705
-10.3986,-11.4996,29.0944
-10.4913,-11.2399,29.6949
-10.5476,-10.9205,30.2617
-10.5654,-10.5463,30.785
-10.5434,-10.1235,31.256
-10.4814,-9.65999,31.6672
-10.3794,-9.16464,32.0126
-10.2389,-8.64699,32.2881
-10.0619,-8.11687,32.4914
-9.85098,-7.58399,32.622
-9.60969,-7.0575,32.6814
-9.34191,-6.54571,32.6724
-9.05192,-6.05581,32.599
-8.74421,-5.59374,32.4666
-8.42335,-5.16411,32.2806
-8.09384,-4.77019,32.0474
-7.76002,-4.41401,31.773
-7.42594,-4.09648,31.4635
-7.0953,-3.81753,31.1247
-6.77142,-3.57632,30.7619
-6.45717,-3.37138,30.3801
-6.155,-3.20082,29.9835
-5.86694,-3.06243,29.576
-5.59457,-2.95385,29.1608
-5.33914,-2.87266,28.7409
-5.10152,-2.8165,28.3187
-4.88228,-2.78308,27.8962
-4.68174,-2.7703,27.4751
-4.49999,-2.77621,27.057
-4.33693,-2.7991,26.6431
-4.19232,-2.83746,26.2344
-4.06583,-2.89,25.8319
-3.95701,-2.95564,25.4364
-3.86539,-3.03351,25.0486
-3.79046,-3.12294,24.6692
-3.73171,-3.22342,24.2988
-3.68864,-3.33462,23.938
-3.66075,-3.45636,23.5875
-3.64762,-3.58856,23.2478
-3.64882,-3.73131,22.9196
-3.664,-3.88476,22.6035
-3.69288,-4.04917,22.3004
-3.73519,-4.22486,22.0108
-3.79076,-4.41222,21.7358
-3.85945,-4.61168,21.4762
-3.94119,-4.8237,21.2331
-4.03595,-5.04876,21.0075
-4.14376,-5.28731,20.8008
-4.26469,-5.53979,20.6142
-4.39882,-5.8066,20.4492
-4.54629,-6.08804,20.3076
-4.70722,-6.38432,20.1911
-4.88175,-6.69551,20.1017
-5.07001,-7.02149,20.0415
-5.27207,-7.36191,20.0128
-5.48797,-7.71617,20.0181
-5.71768,-8.0833,20.0599
-5.96103,-8.46196,20.141
-6.21774,-8.85034,20.264
-6.48736,-9.24608,20.4319
-6.76923,-9.64627,20.6473
-7.06242,-10.0473,20.9128
-7.36575,-10.4448,21.2306
-7.67766,-10.8338,21.6028
-7.99627,-11.2084,22.0304
-8.31924,-11.562,22.5141
-8.64383,-11.8874,23.0532
-8.96681,-12.1768,23.6462
-9.28452,-12.4219,24.2898
-9.59285,-12.6145,24.9794
-9.88729,-12.7465,25.7084
-10.163,-12.8104,26.4685
-10.4151,-12.7996,27.2498
-10.6383,-12.7093,28.0406
-10.8276,-12.5361,28.8278
-10.9785,-12.2794,29.5974
-11.0865,-11.9408,30.3353
-11.1483,-11.5247,31.0271
-11.1611,-11.0382,31.6596
-11.1233,-10.4906,32.221
-11.0346,-9.89341,32.7017
-10.8956,-9.25957,33.0944
-10.7082,-8.60273,33.3947
-10.4757,-7.93672,33.6009
-10.2019,-7.2748,33.7143
-9.89199,-6.6291,33.7382
-9.55129,-6.01019,33.6784
-9.18578,-5.42675,33.5418
-8.80152,-4.88543,33.3365
-8.40455,-4.39087,33.0712
-8.00067,-3.9458,32.7546
-7.59531,-3.55124,32.3952
-7.19341,-3.20677,32.0008
-6.79934,-2.91083,31.5788
-6.41686,-2.66096,31.1355
-6.0491,-2.45412,30.6766
-5.6986,-2.28688,30.2068
-5.36732,-2.15566,29.7301
-5.05666,-2.05685,29.25
-4.7676,-1.98697,28.769
-4.50066,-1.94274,28.2893
-4.25602,-1.92112,27.8128
-4.0336,-1.91939,27.3408
-3.83304,-1.93516,26.8743
-3.65382,-1.96634,26.4144
-3.49531,-2.01117,25.9617
-3.35674,-2.06817,25.5167
-3.23732,-2.13617,25.08
-3.13623,-2.21424,24.6519
-3.05265,-2.3017,24.2329
-2.98578,-2.39808,23.8233
-2.93487,-2.5031,23.4233
-2.8992,-2.61665,23.0334
-2.87816,-2.73879,22.6538
-2.87116,-2.8697,22.285
-2.87772,-3.00969,21.9273
-2.89743,-3.15917,21.5813
-2.92997,-3.31864,21.2473
-2.9751,-3.48871,20.9261
-3.03265,-3.67001,20.6181
-3.10256,-3.86329,20.3242
-3.18481,-4.06931,20.0451
-3.27949,-4.28887,19.7819
-3.38675,-4.52284,19.5356
-3.50679,-4.77204,19.3073
-3.6399,-5.03735,19.0984
-3.7864,-5.31958,18.9106
-3.94667,-5.61953,18.7455
-4.12111,-5.9379,18.605
-4.31017,-6.27531,18.4915
-4.51429,-6.63219,18.4072
-4.73389,-7.0088,18.3549
-4.9694,-7.40514,18.3376
-5.22115,-7.82085,18.3585
-5.48941,-8.25518,18.4211
-5.77433,-8.70687,18.5293
-6.07588,-9.17405,18.6869
-6.39384,-9.6541,18.898
-6.72772,-10.1436,19.1669
-7.07668,-10.6381,19.4975
-7.43953,-11.1322,19.8938
-7.81458,-11.6192,20.3592
-8.19962,-12.0912,20.8962
-8.59185,-12.5391,21.5065
-8.9878,-12.9526,22.1904
-9.3833,-13.3204,22.9464
-9.77348,-13.6305,23.7707
-10.1527,-13.8704,24.6574
-10.5148,-14.0278,25.5974
-10.853,-14.0915,26.5791
