i,x,y,z
174,-6.61286,-8.37052,22.9459
175,-6.79223,-8.62077,23.0553
176,-6.97828,-8.8691,23.195
177,-7.17006,-9.1132,23.3655
178,-7.36652,-9.35053,23.5673
179,-7.56643,-9.57829,23.8004
180,-7.7684,-9.79344,24.0646
181,-7.97089,-9.99275,24.3591
182,-8.17218,-10.1729,24.6827
183,-8.37038,-10.3303,25.0338
184,-8.56347,-10.4617,25.4099
185,-8.74928,-10.5636,25.8081
186,-8.92556,-10.633,26.2247
187,-9.08998,-10.667,26.6557
188,-9.24019,-10.6634,27.0961
189,-9.37385,-10.6203,27.5406
190,-9.48875,-10.5369,27.9835
191,-9.58281,-10.4128,28.4189
192,-9.65417,-10.2487,28.8404
193,-9.70125,-10.0462,29.2421
194,-9.72281,-9.80775,29.618
195,-9.71802,-9.53665,29.9628
196,-9.68648,-9.237,30.2716
197,-9.62822,-8.9135,30.5402
198,-9.54378,-8.57137,30.7655
199,-9.43414,-8.21608,30.945
200,-9.30071,-7.85323,31.0776
201,-9.14531,-7.48834,31.1628
202,-8.97009,-7.12667,31.2011
203,-8.77748,-6.77307,31.1938
204,-8.57011,-6.43188,31.1431
205,-8.35077,-6.10683,31.0515
206,-8.12227,-5.80101,30.9221
207,-7.88745,-5.51683,30.7581
208,-7.64905,-5.25607,30.5632
209,-7.40971,-5.01988,30.3409
210,-7.17188,-4.80889,30.0946
211,-6.93783,-4.62323,29.828
212,-6.7096,-4.46264,29.5441
213,-6.489,-4.32653,29.246
214,-6.27759,-4.21409,28.9366
215,-6.0767,-4.1243,28.6185
216,-5.88744,-4.05605,28.2939
217,-5.71069,-4.00818,27.965
218,-5.54714,-3.9795,27.6337
219,-5.3973,-3.96885,27.3017
220,-5.26154,-3.97515,26.9705
221,-5.14008,-3.99736,26.6416
222,-5.03302,-4.03455,26.3162
223,-4.94037,-4.0859,25.9954
224,-4.86209,-4.15067,25.6804
225,-4.79804,-4.22825,25.3722
226,-4.74807,-4.31812,25.0716
227,-4.71199,-4.41985,24.7797
228,-4.68957,-4.53311,24.4972
229,-4.68062,-4.65764,24.2252
230,-4.68491,-4.79327,23.9646
231,-4.70222,-4.93986,23.7161
232,-4.73237,-5.09733,23.4808
233,-4.77515,-5.26563,23.2596
234,-4.83041,-5.44472,23.0536
235,-4.89797,-5.63458,22.8639
236,-4.97768,-5.83514,22.6914
237,-5.06941,-6.04633,22.5375
238,-5.17302,-6.26799,22.4034
239,-5.28836,-6.49991,22.2903
240,-5.41527,-6.74176,22.1997
241,-5.55359,-6.9931,22.133
242,-5.7031,-7.25333,22.0916
243,-5.86354,-7.52166,22.0772
244,-6.03461,-7.7971,22.0911
245,-6.2159,-8.07842,22.1351
246,-6.40693,-8.3641,22.2105
247,-6.60711,-8.65234,22.3189
248,-6.81571,-8.941,22.4615
249,-7.03185,-9.22761,22.6396
250,-7.25448,-9.50932,22.8539
251,-7.48237,-9.78293,23.1052
