i,x,y,z
107,-8.3482,-6.97014,28.5696
108,-8.21167,-6.86145,28.3827
109,-8.07862,-6.77015,28.1835
110,-7.9504,-6.69643,27.9742
111,-7.82822,-6.6403,27.757
112,-7.71316,-6.60159,27.5342
113,-7.6062,-6.58001,27.3076
114,-7.50818,-6.57517,27.0794
115,-7.41982,-6.58658,26.8513
116,-7.34172,-6.6137,26.6253
117,-7.27436,-6.65596,26.403
118,-7.21815,-6.71272,26.186
119,-7.17336,-6.78335,25.976
120,-7.1402,-6.86721,25.7743
121,-7.11879,-6.96362,25.5825
122,-7.10917,-7.0719,25.4018
123,-7.11131,-7.19136,25.2337
124,-7.12514,-7.32128,25.0792
125,-7.15048,-7.46089,24.9398
126,-7.18714,-7.60942,24.8165
127,-7.23484,-7.76602,24.7104
128,-7.29326,-7.92978,24.6227
129,-7.36201,-8.09972,24.5542
130,-7.44064,-8.27477,24.506
131,-7.52865,-8.45377,24.4789
132,-7.62546,-8.63544,24.4736
133,-7.73042,-8.81838,24.4908
134,-7.8428,-9.0011,24.531
135,-7.96179,-9.18193,24.5944
136,-8.08651,-9.35914,24.6814
137,-8.21598,-9.53083,24.7917
138,-8.34911,-9.69503,24.9251
139,-8.48476,-9.84968,25.081
140,-8.62167,-9.99266,25.2585
141,-8.7585,-10.1218,25.4565
142,-8.89385,-10.2351,25.6733
143,-9.02624,-10.3303,25.9071
144,-9.15415,-10.4057,26.1557
145,-9.27602,-10.4593,26.4164
146,-9.39029,-10.4898,26.6862
147,-9.49542,-10.4959,26.962
148,-9.58991,-10.4768,27.2403
149,-9.67234,-10.432,27.5174
150,-9.74143,-10.3616,27.7895
151,-9.79602,-10.2661,28.0527
152,-9.83515,-10.1464,28.3034
153,-9.85805,-10.004,28.5379
154,-9.86421,-9.84096,28.7527
155,-9.85336,-9.65956,28.9449
156,-9.8255,-9.46253,29.1118
157,-9.7809,-9.25288,29.2511
158,-9.72012,-9.03382,29.3613
159,-9.64395,-8.80869,29.4411
160,-9.55345,-8.58081,29.49
161,-9.44988,-8.35346,29.5079
162,-9.33468,-8.12976,29.4952
163,-9.20945,-7.91264,29.4529
164,-9.0759,-7.70473,29.3823
165,-8.93582,-7.50835,29.285
166,-8.79102,-7.32551,29.163
167,-8.64332,-7.15785,29.0184
168,-8.49451,-7.00669,28.8535
169,-8.34632,-6.87299,28.6707
170,-8.20038,-6.75744,28.4725
171,-8.05822,-6.66044,28.2613
172,-7.92127,-6.58214,28.0394
173,-7.7908,-6.5225,27.8094
174,-7.66797,-6.4813,27.5733
175,-7.55378,-6.45817,27.3335
176,-7.44912,-6.45266,27.0919
177,-7.35472,-6.46422,26.8506
178,-7.2712,-6.49224,26.6113
179,-7.19907,-6.5361,26.376
180,-7.13872,-6.59513,26.1462
181,-7.09044,-6.66864,25.9237
182,-7.05441,-6.75597,25.7098
183,-7.03077,-6.85641,25.5061
184,-7.01954,-6.96928,25.3141
185,-7.0207,-7.09387,25.1349
186,-7.03414,-7.22946,24.97
187,-7.0597,-7.37529,24.8207
188,-7.09717,-7.53059,24.688
189,-7.14628,-7.69451,24.5733
190,-7.2067,-7.86615,24.4775
191,-7.27803,-8.04455,24.4019
192,-7.35984,-8.22863,24.3474
193,-7.45161,-8.41722,24.3149
194,-7.55276,-8.60903,24.3053
195,-7.66263,-8.80264,24.3193
196,-7.7805,-8.99651,24.3575
197,-7.90555,-9.18894,24.4203
198,-8.03686,-9.37809,24.508
199,-8.17344,-9.562,24.6206
200,-8.31419,-9.73856,24.7579
201,-8.4579,-9.90559,24.9193
202,-8.60328,-10.0608,25.1041
203,-8.74893,-10.2019,25.3111
204,-8.89336,-10.3265,25.5387
205,-9.03502,-10.4324,25.7851
206,-9.17228,-10.5174,26.0478
207,-9.30348,-10.5795,26.3242
208,-9.42693,-10.6171,26.6113
209,-9.54096,-10.6286,26.9055
210,-9.64393,-10.6131,27.2032
211,-9.73429,-10.5699,27.5004
212,-9.8106,-10.499,27.7929
213,-9.87157,-10.4008,28.0767
